Team1,Team1 Score,Team2,Team2 Score,Team1 Shots,Team2 Shots
Cannons,11,Redwoods,12,30,33
Whipsnakes,13,Chaos,7,31,15
Archers,18,Atlas,6,26,24
Waterdogs,7,Cannons,13,17,19
Chrome,11,Redwoods,14,25,23
Chaos,12,Waterdogs,14,16,26
Whipsnakes,15,Cannons,14,30,34
Redwoods,9,Atlas,12,26,25
Chrome,9,Waterdogs,14,15,26
Chaos,8,Archers,12,16,33
Whipsnakes,12,Atlas,11,27,21
Redwoods,9,Chaos,11,23,21
Waterdogs,8,Archers,17,17,28
Cannons,17,Atlas,18,22,36
Chrome,16,Whipsnakes,6,28,27
Archers,7,Chrome,8,23,21
Redwoods,19,Waterdogs,16,26,28
Cannons,10,Chaos,14,27,25
Chrome,10,Atlas,16,21,21
Whipsnakes,15,Archers,14,29,18
Waterdogs,19,Cannons,7,31,17
Redwoods,13,Whipsnakes,7,22,24
Atlas,16,Chaos,10,33,19
Chrome,6,Waterdogs,12,15,28
Cannons,13,Archers,12,26,27
Atlas,19,Chrome,10,32,22
Archers,15,Redwoods,12,31,24
Waterdogs,11,Whipsnakes,6,23,25
Chaos,14,Chrome,12,26,30
Atlas,13,Cannons,12,30,22
Redwoods,12,Whipsnakes,14,20,28
Archers,9,Chaos,11,21,28
Atlas,9,Waterdogs,10,26,20
Cannons,13,Chrome,10,26,26
Chaos,9,Redwoods,10,26,21
Archers,15,Whipsnakes,14,25,31
